x=93, y=0.0
x=91, y=0.0
x=89, y=0.0
x=87, y=7.887741235007817e-304
x=85, y=7.009134037144672e-297
x=83, y=6.228393970712109e-290
x=81, y=5.534619718901267e-283
x=79, y=4.918124251113888e-276
x=77, y=4.370299564898801e-269
x=75, y=3.883496494141822e-262
x=73, y=3.4509179052949085e-255
x=71, y=3.066523790365008e-248
x=69, y=2.7249469314950175e-241
